Instance,Solver Type,Solutions To Find,Variable Ordering,Value Ordering,Solutions Found,Nodes Explored,Revisions Done,Time Taken
13Queens.csp,MAC,1,SMALLEST_DOMAIN,ASCENDING,1,89,5798,2144
14Queens.csp,FC,1,ASCENDING,MIN_CONFLICTS,1,264,871,2015
13Queens.csp,MAC,1,ASCENDING,MIN_CONFLICTS,1,131,8346,2492
17Queens.csp,MAC,1,SMALLEST_DOMAIN,ASCENDING,1,27,3884,2267
13Queens.csp,FC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,617,1739,1875
13Queens.csp,MAC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,115,7938,2290
18Queens.csp,FC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,108,393,1835
17Queens.csp,FC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,329,1104,2005
13Queens.csp,FC,1,ASCENDING,MIN_CONFLICTS,1,851,2503,2197
16Queens.csp,FC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,680,2008,1974
18Queens.csp,FC,1,ASCENDING,MIN_CONFLICTS,1,224,783,2008
18Queens.csp,MAC,1,SMALLEST_DOMAIN,ASCENDING,1,46,5816,2347
17Queens.csp,MAC,1,ASCENDING,MIN_CONFLICTS,1,159,15950,2446
18Queens.csp,MAC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,34,4163,2392
17Queens.csp,MAC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,81,8020,2598
15Queens.csp,MAC,1,ASCENDING,ASCENDING,1,297,22803,3174
17Queens.csp,FC,1,ASCENDING,MIN_CONFLICTS,1,949,3382,2421
18Queens.csp,MAC,1,ASCENDING,MIN_CONFLICTS,1,40,4851,2622
15Queens.csp,FC,1,ASCENDING,ASCENDING,1,1853,6715,2695
14Queens.csp,FC,1,ASCENDING,ASCENDING,1,2644,8735,2721
16Queens.csp,MAC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,170,13706,2881
14Queens.csp,MAC,1,ASCENDING,ASCENDING,1,476,30491,3436
16Queens.csp,MAC,1,ASCENDING,MIN_CONFLICTS,1,530,44408,3491
16Queens.csp,FC,1,ASCENDING,MIN_CONFLICTS,1,3286,10755,2777
17Queens.csp,MAC,1,ASCENDING,ASCENDING,1,1203,107553,3393
16Queens.csp,MAC,1,ASCENDING,ASCENDING,1,2054,172394,3692
17Queens.csp,FC,1,ASCENDING,ASCENDING,1,7811,30008,3051
16Queens.csp,FC,1,ASCENDING,ASCENDING,1,13730,49333,3222
18Queens.csp,MAC,1,ASCENDING,ASCENDING,1,8452,784097,4281
18Queens.csp,FC,1,ASCENDING,ASCENDING,1,54908,211828,4368
