Instance,Solver Type,Solutions To Find,Variable Ordering,Value Ordering,Solutions Found,Nodes Explored,Revisions Done,Time Taken
6Queens.csp,MAC,1,ASCENDING,MIN_CONFLICTS,1,18,345,12
8Queens.csp,MAC,1,ASCENDING,ASCENDING,1,28,1000,72
5Queens.csp,MAC,1,SMALLEST_DOMAIN,ASCENDING,1,5,66,8
4Queens.csp,MAC,1,SMALLEST_DOMAIN,ASCENDING,1,6,48,25
9Queens.csp,MAC,1,ASCENDING,ASCENDING,1,17,605,44
7Queens.csp,MAC,1,ASCENDING,MIN_CONFLICTS,1,7,178,54
6Queens.csp,MAC,1,SMALLEST_DOMAIN,ASCENDING,1,12,258,19
10Queens.csp,MAC,1,ASCENDING,MIN_CONFLICTS,1,10,518,59
9Queens.csp,MAC,1,ASCENDING,MIN_CONFLICTS,1,15,546,23
7Queens.csp,MAC,1,SMALLEST_DOMAIN,ASCENDING,1,9,200,13
10Queens.csp,MAC,1,ASCENDING,ASCENDING,1,36,1507,51
9Queens.csp,MAC,1,SMALLEST_DOMAIN,ASCENDING,1,15,606,20
8Queens.csp,MAC,1,ASCENDING,MIN_CONFLICTS,1,18,594,69
5Queens.csp,MAC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,5,66,3
8Queens.csp,MAC,1,SMALLEST_DOMAIN,ASCENDING,1,28,1000,99
7Queens.csp,MAC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,7,178,67
6Queens.csp,MAC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,18,345,71
4Queens.csp,MAC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,6,48,79
10Queens.csp,MAC,1,SMALLEST_DOMAIN,ASCENDING,1,22,929,115
5Queens.csp,FC,1,ASCENDING,ASCENDING,1,5,10,14
8Queens.csp,MAC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,18,594,107
6Queens.csp,FC,1,ASCENDING,ASCENDING,1,46,96,17
4Queens.csp,FC,1,ASCENDING,ASCENDING,1,12,18,15
11Queens.csp,MAC,1,ASCENDING,ASCENDING,1,17,941,183
7Queens.csp,FC,1,ASCENDING,ASCENDING,1,9,26,67
11Queens.csp,MAC,1,SMALLEST_DOMAIN,ASCENDING,1,33,1791,270
13Queens.csp,MAC,1,ASCENDING,ASCENDING,1,39,2443,382
8Queens.csp,FC,1,ASCENDING,ASCENDING,1,152,366,150
5Queens.csp,FC,1,ASCENDING,MIN_CONFLICTS,1,5,10,0
7Queens.csp,FC,1,ASCENDING,MIN_CONFLICTS,1,7,21,5
11Queens.csp,MAC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,69,4002,295
10Queens.csp,FC,1,ASCENDING,ASCENDING,1,150,415,222
4Queens.csp,FC,1,SMALLEST_DOMAIN,ASCENDING,1,12,18,4
8Queens.csp,FC,1,ASCENDING,MIN_CONFLICTS,1,70,172,36
9Queens.csp,MAC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,15,546,262
12Queens.csp,MAC,1,ASCENDING,MIN_CONFLICTS,1,52,3501,438
10Queens.csp,MAC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,10,536,205
4Queens.csp,FC,1,ASCENDING,MIN_CONFLICTS,1,10,16,0
7Queens.csp,FC,1,SMALLEST_DOMAIN,ASCENDING,1,7,21,1
5Queens.csp,FC,1,SMALLEST_DOMAIN,ASCENDING,1,5,10,1
6Queens.csp,FC,1,SMALLEST_DOMAIN,ASCENDING,1,46,96,12
11Queens.csp,FC,1,ASCENDING,ASCENDING,1,59,216,162
9Queens.csp,FC,1,ASCENDING,ASCENDING,1,51,150,282
6Queens.csp,FC,1,ASCENDING,MIN_CONFLICTS,1,66,135,69
9Queens.csp,FC,1,SMALLEST_DOMAIN,ASCENDING,1,39,115,58
12Queens.csp,MAC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,18,1278,421
13Queens.csp,FC,1,ASCENDING,ASCENDING,1,145,525,321
12Queens.csp,MAC,1,ASCENDING,ASCENDING,1,60,3759,635
9Queens.csp,FC,1,ASCENDING,MIN_CONFLICTS,1,31,95,93
4Queens.csp,FC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,10,16,0
5Queens.csp,FC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,5,10,4
7Queens.csp,FC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,7,21,5
6Queens.csp,FC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,64,131,6
8Queens.csp,FC,1,SMALLEST_DOMAIN,ASCENDING,1,136,324,171
10Queens.csp,FC,1,ASCENDING,MIN_CONFLICTS,1,10,45,149
10Queens.csp,FC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,10,45,27
9Queens.csp,FC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,27,87,18
11Queens.csp,MAC,1,ASCENDING,MIN_CONFLICTS,1,77,4217,736
8Queens.csp,FC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,62,145,38
15Queens.csp,MAC,1,SMALLEST_DOMAIN,ASCENDING,1,17,1873,430
10Queens.csp,FC,1,SMALLEST_DOMAIN,ASCENDING,1,60,183,205
15Queens.csp,FC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,15,105,62
15Queens.csp,MAC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,17,1778,213
12Queens.csp,FC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,54,181,105
15Queens.csp,MAC,1,ASCENDING,MIN_CONFLICTS,1,23,2160,587
13Queens.csp,MAC,1,SMALLEST_DOMAIN,ASCENDING,1,89,5798,596
15Queens.csp,FC,1,SMALLEST_DOMAIN,ASCENDING,1,53,204,162
11Queens.csp,FC,1,SMALLEST_DOMAIN,ASCENDING,1,101,316,348
14Queens.csp,MAC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,28,2120,614
12Queens.csp,MAC,1,SMALLEST_DOMAIN,ASCENDING,1,72,4086,752
16Queens.csp,MAC,1,SMALLEST_DOMAIN,ASCENDING,1,24,2666,403
14Queens.csp,MAC,1,ASCENDING,MIN_CONFLICTS,1,50,3830,726
17Queens.csp,MAC,1,SMALLEST_DOMAIN,ASCENDING,1,27,3884,430
14Queens.csp,FC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,84,251,404
14Queens.csp,MAC,1,SMALLEST_DOMAIN,ASCENDING,1,50,4252,740
16Queens.csp,FC,1,SMALLEST_DOMAIN,ASCENDING,1,62,272,326
12Queens.csp,FC,1,ASCENDING,MIN_CONFLICTS,1,346,971,509
18Queens.csp,MAC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,34,4163,516
11Queens.csp,FC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,299,836,508
15Queens.csp,FC,1,ASCENDING,MIN_CONFLICTS,1,73,296,422
12Queens.csp,FC,1,ASCENDING,ASCENDING,1,326,1048,867
18Queens.csp,MAC,1,ASCENDING,MIN_CONFLICTS,1,40,4851,491
12Queens.csp,FC,1,SMALLEST_DOMAIN,ASCENDING,1,294,888,640
17Queens.csp,FC,1,SMALLEST_DOMAIN,ASCENDING,1,109,418,512
11Queens.csp,FC,1,ASCENDING,MIN_CONFLICTS,1,411,1117,685
14Queens.csp,FC,1,ASCENDING,MIN_CONFLICTS,1,264,871,703
13Queens.csp,MAC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,115,7938,1029
18Queens.csp,FC,1,SMALLEST_DOMAIN,ASCENDING,1,114,455,592
14Queens.csp,FC,1,SMALLEST_DOMAIN,ASCENDING,1,188,724,742
18Queens.csp,MAC,1,SMALLEST_DOMAIN,ASCENDING,1,46,5816,668
18Queens.csp,FC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,108,393,667
13Queens.csp,MAC,1,ASCENDING,MIN_CONFLICTS,1,131,8346,1278
13Queens.csp,FC,1,SMALLEST_DOMAIN,ASCENDING,1,331,1076,906
18Queens.csp,FC,1,ASCENDING,MIN_CONFLICTS,1,224,783,827
17Queens.csp,MAC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,81,8020,955
16Queens.csp,MAC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,170,13706,1161
13Queens.csp,FC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,617,1739,1164
17Queens.csp,MAC,1,ASCENDING,MIN_CONFLICTS,1,159,15950,1245
15Queens.csp,MAC,1,ASCENDING,ASCENDING,1,297,22803,1647
17Queens.csp,FC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,329,1104,1145
13Queens.csp,FC,1,ASCENDING,MIN_CONFLICTS,1,851,2503,1324
16Queens.csp,FC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,680,2008,1208
14Queens.csp,MAC,1,ASCENDING,ASCENDING,1,476,30491,1774
17Queens.csp,FC,1,ASCENDING,MIN_CONFLICTS,1,949,3382,1277
16Queens.csp,MAC,1,ASCENDING,MIN_CONFLICTS,1,530,44408,1697
15Queens.csp,FC,1,ASCENDING,ASCENDING,1,1853,6715,1704
14Queens.csp,FC,1,ASCENDING,ASCENDING,1,2644,8735,1527
17Queens.csp,MAC,1,ASCENDING,ASCENDING,1,1203,107553,1369
16Queens.csp,FC,1,ASCENDING,MIN_CONFLICTS,1,3286,10755,1436
